bar,beat,note,chord,replaced,original_value
1,1,50,C,False,
1,2,46,C,True,50
1,3,47,C,False,
1,4,47,C,False,
2,1,47,F,False,
2,2,47,F,False,
2,3,33,F,False,
2,4,38,F,True,33
3,1,50,G7,False,
3,2,45,G7,True,50
3,3,42,G7,False,
3,4,42,G7,False,
4,1,43,C,False,
4,2,43,C,False,
4,3,35,C,False,
4,4,35,C,False,
5,1,40,A7,False,
5,2,40,A7,False,
5,3,47,A7,False,
5,4,47,A7,False,
6,1,47,D-7,False,
6,2,48,D-7,True,48
6,3,45,D-7,True,45
6,4,41,D-7,True,33
7,1,50,G7,False,
7,2,50,G7,False,
7,3,42,G7,False,
7,4,42,G7,False,
8,1,41,C,True,43
8,2,42,C,False,
8,3,40,C,False,
8,4,38,C,False,
9,1,37,C,False,
9,2,37,C,False,
9,3,37,C,False,
9,4,37,C,False,
10,1,42,F,False,
10,2,42,F,False,
10,3,37,F,False,
10,4,37,F,False,
11,1,38,G7,False,
11,2,38,G7,False,
11,3,33,G7,False,
11,4,36,G7,True,33
12,1,43,C,False,
12,2,43,C,False,
12,3,47,C,False,
12,4,47,C,False,
13,1,40,A7,True,40
13,2,51,A7,True,40
13,3,38,A7,False,
13,4,37,A7,True,37
14,1,42,D-7,False,
14,2,42,D-7,False,
14,3,42,D-7,False,
14,4,42,D-7,True,42
15,1,50,G7,False,
15,2,42,G7,False,
15,3,42,G7,False,
15,4,42,G7,False,
16,1,43,C,False,
16,2,34,C,True,39
16,3,38,C,False,
16,4,38,C,False,
17,1,38,C,False,
17,2,44,C,False,
17,3,44,C,True,42
17,4,37,C,False,
18,1,38,F,True,40
18,2,40,F,False,
18,3,38,F,False,
18,4,37,F,False,
19,1,33,G7,True,42
19,2,40,G7,False,
19,3,50,G7,False,
19,4,38,G7,False,
20,1,47,C,True,43
20,2,43,C,False,
20,3,48,C,True,44
20,4,37,C,False,
21,1,42,A7,False,
21,2,40,A7,False,
21,3,40,A7,False,
21,4,40,A7,False,
22,1,45,D-7,False,
22,2,36,D-7,True,45
22,3,48,D-7,False,
22,4,49,D-7,False,
23,1,50,G7,False,
23,2,49,G7,True,50
23,3,51,G7,True,38
23,4,43,G7,True,37
24,1,43,C,False,
24,2,42,C,False,
24,3,39,C,True,37
24,4,40,C,False,
25,1,43,C,True,50
25,2,50,C,False,
25,3,49,C,False,
25,4,48,C,True,48
26,1,48,F,False,
26,2,47,F,False,
26,3,45,F,False,
26,4,33,F,False,
27,1,50,G7,False,
27,2,50,G7,False,
27,3,42,G7,False,
27,4,42,G7,False,
28,1,50,C,True,42
28,2,42,C,False,
