bar,beat,note,chord,replaced,original_value
1,1,41,Bb,False,
1,2,41,Bb,False,
1,3,40,D7,False,
1,4,52,D7,False,
2,1,51,G7,True,50
2,2,37,G7,False,
2,3,41,G7,False,
2,4,42,G7,False,
3,1,42,C7,False,
3,2,52,C7,True,37
3,3,37,C7,False,
3,4,51,C7,True,47
4,1,50,C7,True,43
4,2,50,C7,False,
4,3,47,C7,False,
4,4,37,C7,True,42
5,1,48,F7,False,
5,2,48,F7,False,
5,3,49,F#o,False,
5,4,39,F#o,True,49
6,1,50,G-,False,
6,2,37,G-,False,
6,3,44,G-,True,37
6,4,38,G-,False,
7,1,51,C7,False,
7,2,50,C7,False,
7,3,37,C7,False,
7,4,42,C7,False,
8,1,48,F7,False,
8,2,49,F7,False,
8,3,50,F7,False,
8,4,37,F7,False,
9,1,42,Bb,True,40
9,2,39,Bb,True,41
9,3,37,D7,False,
9,4,46,D7,True,52
10,1,50,G7,False,
10,2,42,G7,True,37
10,3,40,G7,True,37
10,4,37,G7,False,
11,1,47,C-,False,
11,2,47,C-,False,
11,3,47,Eb,False,
11,4,47,Eb,False,
12,1,45,D7,False,
12,2,37,D7,False,
12,3,37,D7,False,
12,4,37,D7,False,
13,1,45,Eb,False,
13,2,52,Eb,True,47
13,3,47,Eo,False,
13,4,37,Eo,False,
14,1,48,Bb,False,
14,2,48,Bb,False,
14,3,37,G7,False,
14,4,50,G7,False,
15,1,43,C7,False,
15,2,43,C7,False,
15,3,48,F7,False,
15,4,48,F7,False,
16,1,37,Bb,False,
16,2,37,Bb,False,
16,3,37,G7,False,
16,4,43,G7,True,40
17,1,43,C7,False,
17,2,37,C7,True,48
17,3,50,F7,False,
17,4,51,F7,True,37
18,1,37,Bb,False,
18,2,48,Bb,False,
18,3,37,Bb,False,
18,4,52,Bb,False,
19,1,40,Bb,True,42
19,2,41,Bb,False,
19,3,37,Bb,False,
