bar,beat,note,chord,replaced,original_value
1,1,47,Bb6,False,
1,2,40,Bb6,False,
1,3,50,G7,True,49
1,4,47,G7,True,44
2,1,40,C-7,False,
2,2,41,C-7,True,37
2,3,37,F7,False,
2,4,50,F7/Eb,True,37
3,1,37,D-7,False,
3,2,40,D-7,False,
3,3,37,G7,True,37
3,4,37,G7,False,
4,1,43,C-7,False,
4,2,37,C-7,False,
4,3,49,F7,False,
4,4,38,F7,True,47
5,1,44,Bbj7,False,
5,2,49,Bbj7,False,
5,3,38,Bb7/D,True,42
5,4,47,Bb7/D,True,44
6,1,45,Ebj7,False,
6,2,47,Ebj7,False,
6,3,48,Eo,False,
6,4,50,Eo,False,
7,1,43,D-7/F,True,44
7,2,44,G7,False,
7,3,41,C-7,True,42
7,4,41,F7,False,
8,1,38,Bb6,True,37
8,2,41,Bb6,True,42
8,3,45,F7,True,44
8,4,46,F7,True,45
9,1,47,Bb6,False,
9,2,48,Bb6,True,49
9,3,38,G7,True,47
9,4,50,G7,False,
10,1,47,C-7,True,49
10,2,41,C-7,True,50
10,3,42,F7,False,
10,4,37,F7/Eb,True,41
11,1,42,D-7,True,44
11,2,50,D-7,False,
11,3,49,G7,True,37
11,4,37,G7,True,49
12,1,47,C-7,False,
12,2,38,C-7,True,45
12,3,44,F7,False,
12,4,42,F7,False,
13,1,43,Bbj7,True,44
13,2,47,Bbj7,False,
13,3,49,Bb7/D,True,37
13,4,50,Bb7/D,False,
14,1,46,Ebj7,True,37
14,2,42,Ebj7,False,
14,3,43,Eo,True,44
14,4,39,Eo,True,45
15,1,45,D-7/F,True,44
15,2,38,G7,True,43
15,3,43,C-7,True,42
15,4,41,F7,False,
16,1,48,Bbj7,True,37
16,2,44,Bbj7,True,42
16,3,46,Bb+7,True,47
16,4,41,Bb+7,True,47
17,1,49,Eb6,False,
17,2,49,Eb6,False,
17,3,47,C7,True,49
17,4,41,C7,False,
18,1,50,F-7,False,
18,2,47,F-7,False,
18,3,50,Bb7,False,
18,4,49,Bb7/Ab,True,47
19,1,49,G-7,False,
19,2,49,G-7,False,
19,3,40,C7,True,42
19,4,49,C7,False,
20,1,41,F-7,True,47
20,2,44,F-7,True,50
20,3,50,Bb7,False,
20,4,47,Bb7,False,
21,1,40,Ebj7,True,49
21,2,47,Ebj7,True,47
21,3,42,Eb7/G,True,45
21,4,42,Eb7/G,True,51
22,1,50,Abj7,False,
22,2,49,Abj7,False,
22,3,42,Ao,True,47
22,4,42,Ao,False,
23,1,50,G-7,True,49
23,2,48,C7,False,
23,3,47,F-7,False,
23,4,39,Bb7,True,47
24,1,45,Eb6,False,
24,2,44,Eb6,True,48
24,3,49,F79,True,47
24,4,45,F79,True,47
25,1,39,Bb6,True,50
25,2,47,Bb6,False,
25,3,37,G7,True,49
25,4,37,G7,True,50
26,1,43,C-7,True,42
26,2,49,C-7,False,
26,3,47,F7,False,
26,4,37,F7/Eb,False,
27,1,44,D-7,False,
27,2,47,D-7,False,
27,3,39,G7,True,49
27,4,37,G7,True,37
28,1,49,C-7,True,42
28,2,42,C-7,True,49
28,3,47,F7,True,47
28,4,46,F7,True,37
29,1,48,Bbj7,True,44
29,2,47,Bbj7,False,
29,3,42,Bb7/D,True,49
29,4,44,Bb7/D,True,50
30,1,44,Ebj7,True,50
30,2,50,Ebj7,True,42
30,3,47,Eo,True,37
30,4,37,Eo,False,
31,1,37,D-7/F,False,
31,2,43,G7,False,
31,3,42,C-7,False,
31,4,44,F7,True,41
32,1,50,Bb6,False,
32,2,45,Bb6,True,37
32,3,49,Bb6,False,
32,4,42,Bb6,True,47
33,1,40,Bb6,False,
