bar,beat,note,chord,replaced,original_value
1,1,41,Bbj7,False,
1,2,39,Bbj7,True,45
1,3,46,G7,True,50
1,4,37,G7,False,
2,1,47,C-7,True,43
2,2,48,C-7,True,37
2,3,44,C-7,True,43
2,4,44,C-7,True,37
3,1,50,Ab7,True,51
3,2,37,Ab7,False,
3,3,50,G7,False,
3,4,41,G7,True,37
4,1,42,C7,True,43
4,2,37,C7,False,
4,3,37,C7,False,
4,4,45,C7,True,50
5,1,43,C-7,False,
5,2,37,C-7,True,37
5,3,43,F7,True,48
5,4,38,F7,True,37
6,1,38,Am7b5,True,43
6,2,45,Am7b5,True,37
6,3,48,D7,False,
6,4,45,D7,False,
7,1,38,G-7,True,50
7,2,37,G-7,False,
7,3,43,C7,True,43
7,4,37,C7,False,
8,1,38,Gb7,True,37
8,2,37,Gb7,False,
8,3,37,F7,True,48
8,4,48,F7,False,
9,1,41,Bbj7,False,
9,2,45,Bbj7,False,
9,3,35,G7,True,50
9,4,37,G7,True,37
10,1,45,C-7,True,43
10,2,50,C-7,True,37
10,3,43,C-7,False,
10,4,50,C-7,False,
11,1,51,Ab7,False,
11,2,37,Ab7,False,
11,3,50,G7,False,
11,4,50,G7,False,
12,1,43,C7,False,
12,2,51,C7,True,37
12,3,43,C7,False,
12,4,37,C7,False,
13,1,44,C-7,True,34
13,2,37,C-7,False,
13,3,43,Db-7,False,
13,4,44,Db-7,True,37
14,1,48,Bbj7,False,
14,2,37,Ebj7,False,
14,3,47,G-7,False,
14,4,40,C7,True,50
15,1,43,Gb7,False,
15,2,37,Gb7,False,
15,3,37,F7,False,
15,4,35,F7,True,37
16,1,41,Bb6,False,
16,2,34,Bb6,True,37
16,3,38,Bb6,True,48
16,4,48,Bb6,False,
17,1,41,Bbj7,False,
17,2,45,Bbj7,False,
17,3,44,G7,True,50
17,4,37,G7,True,50
18,1,43,C-7,False,
18,2,50,C-7,False,
18,3,38,C-7,False,
18,4,43,C-7,False,
19,1,51,Ab7,False,
19,2,40,Ab7,True,51
19,3,50,G7,False,
19,4,50,G7,False,
20,1,34,C7,True,43
20,2,50,C7,False,
20,3,34,C7,True,47
20,4,43,C7,False,
21,1,43,C-7,True,43
21,2,43,C-7,False,
21,3,48,F7,False,
21,4,46,F7,True,48
22,1,42,Am7b5,True,37
22,2,43,Am7b5,False,
22,3,48,D7,False,
22,4,45,D7,False,
23,1,50,G-7,False,
23,2,35,G-7,True,50
23,3,40,C7,True,43
23,4,43,C7,False,
24,1,37,Gb7,False,
24,2,46,Gb7,True,37
24,3,48,F7,False,
24,4,48,F7,False,
25,1,41,Bbj7,False,
25,2,37,Bbj7,False,
25,3,39,G7,True,50
25,4,50,G7,False,
26,1,37,C-7,True,43
26,2,38,C-7,True,50
26,3,51,C-7,False,
26,4,43,C-7,False,
27,1,51,Ab7,False,
27,2,51,Ab7,False,
27,3,39,G7,True,50
27,4,37,G7,True,50
28,1,43,C7,False,
28,2,43,C7,False,
28,3,50,C7,False,
28,4,43,C7,True,43
29,1,51,C-7,True,47
29,2,42,C-7,False,
29,3,49,Db-7,True,43
29,4,38,Db-7,True,43
30,1,39,Bbj7,True,48
30,2,43,Ebj7,False,
30,3,48,G-7,False,
30,4,38,C7,True,50
31,1,43,Gb7,False,
31,2,43,Gb7,False,
31,3,48,F7,False,
31,4,48,F7,False,
32,1,41,Bb6,False,
32,2,37,Bb6,False,
32,3,46,Bb6,True,43
32,4,48,Bb6,False,
33,1,43,Bbj7,True,41
