bar,beat,note,chord,replaced,original_value
1,1,46,C-7,True,42
1,2,45,C-7,False,
1,3,45,C-7,False,
1,4,42,C-7,True,50
2,1,44,F7,True,42
2,2,40,F7,True,50
2,3,48,F7,False,
2,4,51,F7,False,
3,1,41,Bbj7,False,
3,2,49,Bbj7,True,45
3,3,41,Ebj7,True,45
3,4,51,Ebj7,True,34
4,1,50,D-7,True,45
4,2,50,D-7,True,45
4,3,43,Db-7,False,
4,4,50,Db-7,False,
5,1,51,C-7,True,43
5,2,45,C-7,False,
5,3,50,C-7,True,45
5,4,50,C-7,False,
6,1,49,F7,True,43
6,2,42,F7,True,50
6,3,51,F7,True,48
6,4,42,F7,True,51
7,1,41,Bbj7,False,
7,2,41,Bbj7,True,51
7,3,50,Bbj7,False,
7,4,48,Bbj7,False,
8,1,51,C-7,True,50
8,2,44,C-7,True,45
8,3,49,C-7,True,42
8,4,45,C-7,False,
9,1,43,C-7,True,42
9,2,40,C-7,True,45
9,3,38,C-7,True,42
9,4,50,C-7,False,
10,1,42,F7,False,
10,2,50,F7,False,
10,3,48,F7,True,48
10,4,41,F7,True,51
11,1,45,Bbj7,True,41
11,2,41,Bbj7,True,45
11,3,50,Ebj7,True,45
11,4,50,Ebj7,False,
12,1,51,D-7,False,
12,2,45,D-7,False,
12,3,51,Db-7,True,50
12,4,44,Db-7,True,44
13,1,43,C-7,False,
13,2,45,C-7,False,
13,3,45,C-7,False,
13,4,45,C-7,True,50
14,1,42,F7,True,43
14,2,50,F7,False,
14,3,48,F7,False,
14,4,50,F7,True,51
15,1,41,Bb,False,
15,2,51,Bb,False,
15,3,46,Bb,True,50
15,4,41,Bb,True,49
16,1,48,F-7,False,
16,2,41,F-7,False,
16,3,47,Bb7,True,41
16,4,50,Bb7,False,
17,1,45,Ebj7,True,45
17,2,41,Ebj7,True,48
17,3,45,Ebj7,True,50
17,4,40,Ebj7,False,
18,1,44,Eb-7,True,42
18,2,51,Eb-7,False,
18,3,51,Eb-7,False,
18,4,44,Eb-7,True,47
19,1,40,D-7,False,
19,2,41,D-7,True,41
19,3,50,D-7,True,48
19,4,41,D-7,True,41
20,1,48,Ao7,True,51
20,2,38,Ao7,False,
20,3,41,D+7,True,45
20,4,51,D+7,False,
21,1,39,G-7,True,50
21,2,48,G-7,False,
21,3,39,G-7,True,51
21,4,47,G-7,True,45
22,1,42,C7,False,
22,2,45,C7,False,
22,3,40,C7,True,45
22,4,47,C7,True,50
23,1,42,C-7,True,43
23,2,45,C-7,False,
23,3,45,C-7,False,
23,4,50,C-7,False,
24,1,43,F7,True,48
24,2,46,F7,True,48
24,3,42,F7,True,50
24,4,48,F7,True,45
25,1,40,C-7,True,42
25,2,51,C-7,True,45
25,3,49,C-7,True,45
25,4,50,C-7,False,
26,1,48,F7,False,
26,2,44,F7,True,48
26,3,50,F7,True,50
26,4,49,F7,True,51
27,1,44,Bbj7,True,41
27,2,45,Bbj7,False,
27,3,45,Ebj7,True,45
27,4,45,Ebj7,True,45
28,1,45,D-7,False,
28,2,50,D-7,True,45
28,3,43,Db-7,False,
28,4,50,Db-7,False,
29,1,49,C-7,True,43
29,2,48,C-7,True,45
29,3,43,C-7,True,45
29,4,50,C-7,False,
30,1,42,F7,False,
30,2,50,F7,False,
30,3,48,F7,False,
30,4,51,F7,False,
31,1,38,Bbj7,True,51
31,2,41,Bbj7,True,51
31,3,50,Bbj7,False,
31,4,49,Bbj7,False,
32,1,48,Bbj7,False,
32,2,48,Bbj7,False,
32,3,40,Bbj7,False,
32,4,50,Bbj7,True,50
33,1,42,NC,False,
