bar,beat,note,chord,replaced,original_value
1,1,52,Cj7,True,43
1,2,49,Cj7,True,47
1,3,48,Cj7,False,
1,4,51,Cj7,False,
2,1,50,E-7,False,
2,2,43,E-7,True,41
2,3,40,A7,False,
2,4,35,A7,True,44
3,1,35,D-,True,45
3,2,43,D-,True,39
3,3,38,G7,False,
3,4,51,G7,True,44
4,1,40,Cj7,True,43
4,2,43,Cj7,True,49
4,3,50,G7,False,
4,4,41,G7,True,42
5,1,43,Cj7,False,
5,2,37,Cj7,False,
5,3,44,Cj7,True,38
5,4,37,Cj7,True,43
6,1,39,E-7,True,35
6,2,44,E-7,True,41
6,3,52,A7,True,40
6,4,44,A7,False,
7,1,38,D-7,True,45
7,2,40,D-7,True,47
7,3,48,D-7,False,
7,4,41,D-7,True,49
8,1,38,G7,False,
8,2,40,G7,False,
8,3,41,G7,False,
8,4,42,G7,False,
9,1,43,C7,True,50
9,2,52,C7,True,41
9,3,52,C7,True,40
9,4,39,C7,False,
10,1,41,C7,True,38
10,2,44,C7,False,
10,3,43,C7,False,
10,4,37,C7,False,
11,1,50,F7,True,37
11,2,36,F7,True,40
11,3,49,F7,True,43
11,4,51,F7,True,42
12,1,41,Bb7,False,
12,2,48,Bb7,False,
12,3,41,Bb7,False,
12,4,39,Bb7,True,50
13,1,39,Cj7,True,43
13,2,46,Cj7,True,37
13,3,37,Cj7,False,
13,4,42,Cj7,True,42
14,1,47,E-7,False,
14,2,43,E-7,True,41
14,3,35,A7,True,40
14,4,40,A7,True,44
15,1,45,D-7,False,
15,2,49,D-7,False,
15,3,37,G7,True,50
15,4,42,G7,False,
16,1,41,Cj7,True,44
16,2,44,Cj7,False,
16,3,46,Cj7,True,42
16,4,44,Cj7,False,
17,1,37,Cj7,True,50
17,2,43,Cj7,False,
17,3,48,Cj7,False,
17,4,37,Cj7,True,42
18,1,47,E-7,False,
18,2,42,E-7,True,41
18,3,36,A7,True,52
18,4,35,A7,True,43
19,1,42,D-,False,
19,2,44,D-,True,51
19,3,51,G7,True,50
19,4,42,G7,False,
20,1,48,Cj7,False,
20,2,40,Cj7,False,
20,3,41,G7,False,
20,4,42,G7,False,
21,1,43,Cj7,True,43
21,2,37,Cj7,False,
21,3,43,Cj7,True,37
21,4,49,Cj7,True,42
22,1,47,E-7,False,
22,2,41,E-7,False,
22,3,45,A7,True,40
22,4,44,A7,False,
23,1,45,D-7,False,
23,2,35,D-7,True,35
23,3,44,D-7,False,
23,4,37,D-7,False,
24,1,46,G7,True,38
24,2,39,G7,False,
24,3,40,G7,False,
24,4,42,G7,False,
25,1,43,C7,False,
25,2,50,C7,True,41
25,3,43,C7,False,
25,4,42,C7,False,
26,1,45,C7,True,41
26,2,40,C7,False,
26,3,50,C7,False,
26,4,50,C7,False,
27,1,42,F7,True,48
27,2,51,F7,True,40
27,3,43,F7,False,
27,4,52,F7,True,42
28,1,41,Bb7,False,
28,2,39,Bb7,True,48
28,3,51,Bb7,False,
28,4,47,Bb7,True,41
29,1,48,Cj7,True,50
29,2,47,Cj7,True,43
29,3,52,Cj7,True,48
29,4,35,Cj7,True,48
30,1,43,E-7,True,47
30,2,41,E-7,False,
30,3,40,A7,False,
30,4,51,A7,True,44
31,1,45,D-7,False,
31,2,49,D-7,False,
31,3,39,G7,True,38
31,4,44,G7,True,42
32,1,43,Cj7,False,
32,2,40,Cj7,False,
32,3,44,Cj7,False,
32,4,40,Cj7,False,
33,1,38,NC,False,
