bar,beat,note,chord,replaced,original_value
1,1,42,Gj7,True,42
1,2,45,Gj7,True,44
1,3,50,Gj7,True,44
1,4,44,Gj7,True,44
2,1,44,G6,True,44
2,2,45,G6,True,52
2,3,48,G6,True,45
2,4,44,G6,True,42
3,1,47,Gj7,True,42
3,2,51,Gj7,True,44
3,3,39,Gj7,True,44
3,4,45,Gj7,True,45
4,1,51,G6,True,33
4,2,45,G6,True,45
4,3,42,G6,True,50
4,4,49,G6,True,41
5,1,42,G-7,True,37
5,2,41,G-7,True,51
5,3,47,G-7,True,50
5,4,43,G-7,True,45
6,1,46,G-6,True,42
6,2,46,G-6,True,33
6,3,39,G-6,True,50
6,4,45,G-6,True,37
7,1,49,G-7,True,52
7,2,41,G-7,True,50
7,3,47,G-7,True,50
7,4,44,G-7,True,50
8,1,45,G-6,True,45
8,2,51,G-6,True,44
8,3,40,G-6,True,45
8,4,46,G-6,True,33
9,1,50,Am7b5,True,41
9,2,40,Am7b5,True,45
9,3,44,Am7b5,True,50
9,4,51,Am7b5,True,41
10,1,39,D7,True,50
10,2,49,D7,True,50
10,3,50,D7,True,43
10,4,44,D7,True,43
11,1,41,Bm7b5,True,47
11,2,46,Bm7b5,True,37
11,3,39,Bm7b5,True,52
11,4,50,Bm7b5,True,45
12,1,48,E7,True,33
12,2,48,E7,True,43
12,3,50,E7,True,43
12,4,50,E7,True,48
13,1,46,A-7,True,44
13,2,39,A-7,True,47
13,3,48,A-7,True,47
13,4,41,A-7,True,37
14,1,43,D7,True,37
14,2,50,D7,True,47
14,3,44,D7,True,51
14,4,49,D7,True,47
15,1,45,Gj7,True,43
15,2,42,Gj7,True,44
15,3,48,Gj7,True,44
15,4,49,Gj7,True,48
16,1,42,Gj7,True,45
16,2,39,Gj7,True,45
16,3,46,Gj7,True,50
16,4,50,Gj7,True,42
17,1,46,C-7,True,47
17,2,46,C-7,True,40
17,3,46,C-7,True,44
17,4,44,C-7,True,50
18,1,44,F7,True,50
18,2,46,F7,True,44
18,3,47,F7,True,44
18,4,41,F7,True,44
19,1,48,Bbj7,True,45
19,2,49,Bbj7,True,50
19,3,48,Bbj7,True,48
19,4,50,Bbj7,True,51
20,1,39,G-7,True,50
20,2,45,G-7,True,51
20,3,40,G-7,True,42
20,4,41,G-7,True,51
21,1,47,C-7,True,50
21,2,46,C-7,True,47
21,3,44,C-7,True,45
21,4,49,C-7,True,43
22,1,47,F7,True,42
22,2,45,F7,True,45
22,3,47,F7,True,44
22,4,40,F7,True,44
23,1,42,Bbj7,True,45
23,2,49,Bbj7,True,50
23,3,45,Bbj7,True,48
23,4,46,Bbj7,True,51
24,1,50,Bbj7,True,50
24,2,39,Bbj7,True,51
24,3,48,Bbj7,True,37
24,4,51,Bbj7,True,51
25,1,49,A-7,True,50
25,2,43,A-7,True,48
25,3,46,A-7,True,45
25,4,47,A-7,True,47
26,1,41,D7,True,52
26,2,49,D7,True,37
26,3,42,D7,True,52
26,4,46,D7,True,47
27,1,41,Gj7,True,43
27,2,42,Gj7,True,44
27,3,50,Gj7,True,44
27,4,50,Gj7,True,44
28,1,42,Gj7,True,45
28,2,46,Gj7,True,45
28,3,50,Gj7,True,50
28,4,51,Gj7,True,42
29,1,42,F#-7,True,47
29,2,41,F#-7,True,40
29,3,50,F#-7,True,44
29,4,45,F#-7,True,44
30,1,47,B7,True,50
30,2,48,B7,True,50
30,3,49,B7,True,37
30,4,49,B7,True,44
31,1,49,Ej7,True,44
31,2,39,Ej7,True,44
31,3,44,Ej7,True,44
31,4,49,Ej7,True,42
32,1,47,A-7,True,37
32,2,50,A-7,True,37
32,3,40,D7,True,47
32,4,44,D7,True,44
33,1,49,Gj7,True,40
33,2,41,Gj7,True,47
33,3,45,Gj7,True,51
33,4,41,Gj7,True,47
34,1,49,G6,True,45
34,2,45,G6,True,45
34,3,49,G6,True,50
34,4,40,G6,True,37
35,1,45,Gj7,True,37
35,2,50,Gj7,True,51
35,3,41,Gj7,True,50
35,4,49,Gj7,True,50
36,1,46,G6,True,45
36,2,47,G6,True,45
36,3,44,G6,True,45
36,4,41,G6,True,33
37,1,50,G-7,True,33
37,2,45,G-7,True,44
37,3,51,G-7,True,44
37,4,49,G-7,True,37
38,1,51,G-6,True,37
38,2,47,G-6,True,50
38,3,44,G-6,True,50
38,4,46,G-6,True,50
39,1,45,G-7,True,52
39,2,51,G-7,True,37
39,3,46,G-7,True,44
39,4,51,G-7,True,44
40,1,48,G-6,True,44
40,2,50,G-6,True,51
40,3,50,G-6,True,50
40,4,46,G-6,True,50
41,1,45,Am7b5,True,44
41,2,39,Am7b5,True,44
41,3,41,Am7b5,True,44
41,4,40,Am7b5,True,45
42,1,47,D7,True,45
42,2,50,D7,True,42
42,3,47,D7,True,44
42,4,51,D7,True,44
43,1,44,Bm7b5,True,44
43,2,40,Bm7b5,True,37
43,3,46,Bm7b5,True,44
43,4,44,Bm7b5,True,44
44,1,47,E7,True,33
44,2,40,E7,True,33
44,3,39,E7,True,38
44,4,39,E7,True,52
45,1,46,A-7,True,40
45,2,40,A-7,True,37
45,3,51,A-7,True,37
45,4,45,A-7,True,41
46,1,41,D7,True,41
46,2,49,D7,True,47
46,3,49,D7,True,47
46,4,46,D7,True,38
47,1,41,Gj7,True,47
47,2,41,Gj7,True,44
47,3,48,Gj7,True,44
47,4,42,Gj7,True,45
48,1,42,Gj7,True,49
48,2,46,Gj7,True,37
48,3,42,Gj7,True,45
48,4,42,Gj7,True,50
49,1,49,Gj7,True,43
49,2,40,Gj7,True,44
49,3,47,Gj7,True,44
49,4,44,Gj7,True,45
50,1,46,G6,True,47
50,2,45,G6,True,40
50,3,42,G6,True,44
50,4,42,G6,True,45
51,1,45,Gj7,True,47
51,2,43,Gj7,True,43
51,3,47,Gj7,True,44
51,4,48,Gj7,True,44
52,1,41,G6,True,44
52,2,41,G6,True,47
52,3,44,G6,True,45
52,4,49,G6,True,45
53,1,46,G-7,True,33
53,2,51,G-7,True,33
53,3,40,G-7,True,41
53,4,39,G-7,True,45
54,1,41,G-6,True,45
54,2,49,G-6,True,37
54,3,46,G-6,True,52
54,4,47,G-6,True,50
55,1,51,G-7,True,50
55,2,46,G-7,True,50
55,3,46,G-7,True,45
55,4,44,G-7,True,44
56,1,41,G-6,True,44
56,2,45,G-6,True,50
56,3,48,G-6,True,38
56,4,43,G-6,True,38
57,1,50,Am7b5,True,50
57,2,39,Am7b5,True,50
57,3,49,Am7b5,True,45
57,4,50,Am7b5,True,45
58,1,46,D7,True,45
58,2,43,D7,True,50
58,3,40,D7,True,38
58,4,40,D7,True,50
59,1,47,Bm7b5,True,50
59,2,46,Bm7b5,True,38
59,3,49,Bm7b5,True,41
59,4,51,Bm7b5,True,50
60,1,39,E7,True,37
60,2,46,E7,True,48
60,3,39,E7,True,47
60,4,50,E7,True,45
61,1,41,A-7,True,43
61,2,39,A-7,True,42
61,3,42,A-7,True,43
61,4,46,A-7,True,43
62,1,44,D7,True,43
62,2,51,D7,True,45
62,3,48,D7,True,45
62,4,41,D7,True,45
63,1,42,Gj7,True,43
63,2,51,Gj7,True,40
63,3,41,Gj7,True,44
63,4,44,Gj7,True,44
64,1,41,Gj7,True,45
64,2,49,Gj7,True,38
64,3,43,Gj7,True,45
64,4,48,Gj7,True,51
65,1,47,C-7,True,45
65,2,41,C-7,True,45
65,3,45,C-7,True,50
65,4,47,C-7,True,42
66,1,46,F7,True,40
66,2,40,F7,True,45
66,3,44,F7,True,45
66,4,40,F7,True,50
67,1,48,Bbj7,True,50
67,2,46,Bbj7,True,44
67,3,44,Bbj7,True,44
67,4,41,Bbj7,True,45
68,1,49,G-7,True,45
68,2,42,G-7,True,43
68,3,50,G-7,True,43
68,4,41,G-7,True,50
69,1,50,C-7,True,48
69,2,44,C-7,True,39
69,3,40,C-7,True,38
69,4,48,C-7,True,50
70,1,42,F7,True,47
70,2,51,F7,True,45
70,3,44,F7,True,45
70,4,43,F7,True,43
71,1,49,Bbj7,True,42
71,2,47,Bbj7,True,45
71,3,39,Bbj7,True,43
71,4,40,Bbj7,True,45
72,1,49,Bbj7,True,45
72,2,49,Bbj7,True,48
72,3,46,Bbj7,True,47
72,4,49,Bbj7,True,50
73,1,46,A-7,True,50
73,2,44,A-7,True,48
73,3,47,A-7,True,38
73,4,51,A-7,True,37
74,1,46,D7,True,44
74,2,41,D7,True,50
74,3,41,D7,True,47
74,4,41,D7,True,52
75,1,44,Gj7,True,37
75,2,48,Gj7,True,48
75,3,49,Gj7,True,51
75,4,41,Gj7,True,47
