bar,beat,note,chord,replaced,original_value
1,1,42,Eb7,True,50
1,2,38,Eb7,True,50
1,3,50,Eb7,True,50
1,4,51,Eb7,True,37
2,1,48,Ab7,True,51
2,2,49,Ab7,True,50
2,3,42,Ab7,True,50
2,4,45,Ab7,True,37
3,1,52,Eb7,True,37
3,2,52,Eb7,True,37
3,3,46,Eb7,True,50
3,4,50,Eb7,True,43
4,1,43,Eb7,True,41
4,2,52,Eb7,True,42
4,3,37,Eb7,True,50
4,4,51,Eb7,True,50
5,1,47,Ab7,True,52
5,2,44,Ab7,True,41
5,3,51,Ab7,True,43
5,4,50,Ab7,True,41
6,1,37,Ab7,True,52
6,2,46,Ab7,True,49
6,3,42,Ab7,True,48
6,4,46,Ab7,True,47
7,1,40,Eb7,True,47
7,2,50,Eb7,True,47
7,3,50,Eb7,True,50
7,4,46,Eb7,True,50
8,1,37,Eb7,True,50
8,2,44,Eb7,True,43
8,3,52,Eb7,True,50
8,4,40,Eb7,True,50
9,1,38,Bb7,True,50
9,2,42,Bb7,True,50
9,3,41,Bb7,True,50
9,4,46,Bb7,True,43
10,1,45,Ab7,True,38
10,2,46,Ab7,True,41
10,3,38,Ab7,True,50
10,4,39,Ab7,True,45
11,1,41,Eb7,True,47
11,2,43,Eb7,True,44
11,3,38,Eb7,True,43
11,4,43,Eb7,True,43
12,1,52,Eb7,True,42
12,2,40,Eb7,True,42
12,3,37,Eb7,True,43
12,4,42,Eb7,True,50
13,1,40,Eb7,True,47
13,2,39,Eb7,True,47
13,3,37,Eb7,True,48
13,4,42,Eb7,True,50
14,1,43,Ab7,True,50
14,2,52,Ab7,True,50
14,3,47,Ab7,True,50
14,4,46,Ab7,True,37
15,1,52,Eb7,True,50
15,2,45,Eb7,True,51
15,3,51,Eb7,True,50
15,4,40,Eb7,True,50
16,1,42,Eb7,True,41
16,2,51,Eb7,True,42
16,3,52,Eb7,True,50
16,4,41,Eb7,True,50
17,1,40,Ab7,True,52
17,2,40,Ab7,True,50
17,3,44,Ab7,True,43
17,4,52,Ab7,True,42
18,1,40,Ab7,True,41
18,2,47,Ab7,True,49
18,3,38,Ab7,True,47
18,4,52,Ab7,True,43
19,1,52,Eb7,True,48
19,2,41,Eb7,True,47
19,3,42,Eb7,True,50
19,4,50,Eb7,True,48
20,1,40,Eb7,True,51
20,2,39,Eb7,True,50
20,3,37,Eb7,True,50
20,4,39,Eb7,True,50
21,1,42,Bb7,True,50
21,2,38,Bb7,True,50
21,3,37,Bb7,True,50
21,4,39,Bb7,True,50
22,1,46,Ab7,True,51
22,2,42,Ab7,True,50
22,3,51,Ab7,True,48
22,4,50,Ab7,True,47
23,1,37,Eb7,True,47
23,2,45,Eb7,True,50
23,3,45,Eb7,True,50
23,4,50,Eb7,True,42
24,1,41,Eb7,True,50
24,2,52,Eb7,True,50
24,3,45,Eb7,True,43
24,4,50,Eb7,True,37
25,1,44,Eb7,True,38
25,2,42,Eb7,True,37
25,3,52,Eb7,True,38
25,4,48,Eb7,True,50
26,1,48,Ab7,True,51
26,2,49,Ab7,True,50
26,3,39,Ab7,True,50
26,4,46,Ab7,True,37
27,1,51,Eb7,True,50
27,2,52,Eb7,True,43
27,3,42,Eb7,True,48
27,4,44,Eb7,True,37
28,1,38,Eb7,True,45
28,2,40,Eb7,True,50
28,3,39,Eb7,True,44
28,4,37,Eb7,True,49
29,1,44,Ab7,True,42
29,2,43,Ab7,True,38
29,3,49,Ab7,True,44
29,4,42,Ab7,True,43
30,1,46,Ab7,True,42
30,2,49,Ab7,True,44
30,3,45,Ab7,True,49
30,4,38,Ab7,True,48
31,1,43,Eb7,True,47
31,2,42,Eb7,True,50
31,3,52,Eb7,True,48
31,4,51,Eb7,True,51
32,1,47,Eb7,True,50
32,2,37,Eb7,True,44
32,3,39,Eb7,True,43
32,4,39,Eb7,True,50
33,1,44,Bb7,True,48
33,2,51,Bb7,True,50
33,3,49,Bb7,True,51
33,4,46,Bb7,True,50
34,1,52,Ab7,True,50
