bar,beat,note,chord,replaced,original_value
1,1,45,Bbj7,True,44
1,2,39,Bbj7,True,45
1,3,46,G7,True,50
1,4,49,G7,True,37
2,1,48,C-7,True,50
2,2,37,C-7,True,50
2,3,50,F7,True,51
2,4,49,F7,True,37
3,1,42,Bbj7,True,50
3,2,51,Bbj7,True,45
3,3,42,G7,True,50
3,4,48,G7,True,48
4,1,43,C-7,True,47
4,2,37,C-7,True,50
4,3,49,F7,True,48
4,4,40,F7,True,37
5,1,43,F-7,True,51
5,2,49,F-7,True,48
5,3,51,Bb7,True,37
5,4,49,Bb7,True,47
6,1,42,Ebj7,True,47
6,2,51,Ebj7,True,50
6,3,42,Eb-6,True,37
6,4,46,Eb-6,True,51
7,1,46,Bbj7,True,50
7,2,40,Bbj7,True,50
7,3,47,G7,True,47
7,4,37,G7,True,47
8,1,48,C-7,True,48
8,2,40,C-7,True,37
8,3,48,F7,True,45
8,4,45,F7,True,43
9,1,49,Bbj7,True,43
9,2,46,Bbj7,True,37
9,3,42,G7,True,45
9,4,47,G7,True,42
10,1,49,C-7,True,43
10,2,47,C-7,True,44
10,3,42,F7,True,45
10,4,46,F7,True,47
11,1,37,Bbj7,True,48
11,2,49,Bbj7,True,37
11,3,49,G7,True,45
11,4,47,G7,True,42
12,1,47,C-7,True,43
12,2,43,C-7,True,50
12,3,37,F7,True,48
12,4,39,F7,True,37
13,1,38,F-7,True,51
13,2,44,F-7,True,48
13,3,41,Bb7,True,49
13,4,46,Bb7,True,47
14,1,48,Ebj7,True,47
14,2,41,Ebj7,True,50
14,3,40,Eb-6,True,50
14,4,50,Eb-6,True,51
15,1,42,Bbj7,True,50
15,2,48,Bbj7,True,50
15,3,41,G7,True,37
15,4,44,G7,True,49
16,1,47,Bbj7,True,49
16,2,39,Bbj7,True,49
16,3,49,Bbj7,True,50
16,4,41,Bbj7,True,42
17,1,42,D7,True,50
17,2,45,D7,True,37
17,3,42,D7,True,37
17,4,50,D7,True,37
18,1,44,D7,True,37
18,2,37,D7,True,37
18,3,51,D7,True,37
18,4,51,D7,True,45
19,1,39,G7,True,50
19,2,49,G7,True,50
19,3,48,G7,True,37
19,4,37,G7,True,37
20,1,46,G7,True,37
20,2,41,G7,True,37
20,3,41,G7,True,50
20,4,44,G7,True,37
21,1,45,C7,True,50
21,2,51,C7,True,50
21,3,48,C7,True,50
21,4,48,C7,True,37
22,1,39,C7,True,50
22,2,51,C7,True,48
22,3,47,C7,True,47
22,4,38,C7,True,45
23,1,43,F7,True,43
23,2,48,F7,True,45
23,3,39,F7,True,47
23,4,51,F7,True,47
24,1,37,F7,True,48
24,2,37,F7,True,37
24,3,40,F7,True,45
24,4,39,F7,True,43
25,1,43,Bbj7,True,50
25,2,40,Bbj7,True,37
25,3,42,G7,True,50
25,4,41,G7,True,49
26,1,48,C-7,True,43
26,2,51,C-7,True,42
26,3,39,F7,True,37
